Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Portfolio - Dashboard: Data Source - Edit Columns (Accenture),77,20694,14862,40161,60611,71609,2836,74516,80.519%,.01128,0.35,0.01
Portfolio - Dashboard: Data Source - Edit Formula (Accenture),77,22665,19093,46941,52980,58230,2803,86033,80.519%,.01123,0.37,0.01
Portfolio - Dashboard 1 (Accenture),77,169171,16270,43954,65880,92960,2993,11393689,80.519%,.00422,0.14,0.00
Portfolio - Dashboard 2 (Accenture),76,21370,16921,43000,48973,66226,2911,74244,80.263%,.01117,0.36,0.00
Portfolio - Dashboard 3 (Accenture),76,20769,16825,39986,44729,51724,3037,60251,80.263%,.01113,0.36,0.00
Portfolio - Dashboard 1 (Ausnet),76,21531,16239,37831,53314,72254,2946,77211,85.526%,.01109,0.34,0.00
Portfolio - Dashboard 2 (Ausnet),76,171615,16994,40606,50985,85525,2642,11387660,85.526%,.00417,0.13,0.00
Portfolio - Dashboard 3 (Ausnet),75,20206,17186,34384,42767,64390,2766,84367,85.333%,.01102,0.34,0.00
Portfolio - Reporting,75,19996,16870,39838,43123,55606,2864,68685,0.000%,.01098,0.48,0.00
Portfolio - Reporting (New),75,178564,21313,47266,79813,88419,2431,11399101,6.667%,.00411,0.86,0.00
Portfolio - Reporting (Draft),74,21504,17187,46874,47511,63261,2664,65880,5.405%,.01093,2.32,0.01
Portfolio - Action Tracking,74,19558,13966,40327,42738,50200,2645,59217,0.000%,.01090,0.62,0.01
Portfolio - Risk Management,74,20161,13414,44003,48904,76035,2460,96063,0.000%,.01085,0.72,0.00
Portfolio - Issue Management,74,18585,13124,40910,42553,58846,2440,85979,0.000%,.01083,0.52,0.00
Portfolio - Budget Management,74,172068,13579,43095,51484,84512,2448,11382607,1.351%,.00406,0.28,0.00
Portfolio - Budget Management: Total Portfolio,73,18798,13219,40432,41871,45051,2533,45154,0.000%,.01070,0.56,0.00
Portfolio - Budget Management: Update Total Portfolio,73,407167,16129,40279,51265,11390465,2660,16974013,8.219%,.00401,0.24,0.00
Portfolio - Budget Management (Ausnet),71,19534,17264,34648,37776,48122,2539,54489,84.507%,.01051,0.35,0.00
Portfolio - Resource Management,71,18076,12167,37381,44183,54125,2451,61171,0.000%,.01047,0.56,0.00
Portfolio - Benefit Tracking,71,18881,14115,37690,39709,51031,2634,56716,0.000%,.01043,0.76,0.00
Portfolio - Settings,71,178428,11705,38171,45513,78930,2639,11395045,1.408%,.00390,0.26,0.00
View All Actions Log,70,14771,11450,31676,32920,41745,2441,45923,0.000%,.01038,0.50,0.00
View All Nogitications Log,70,14181,9306,26963,29157,45756,2414,50545,0.000%,.01035,0.47,0.00
List Programs,70,14758,10338,29708,30652,50600,2395,57243,0.000%,.01032,0.38,0.00
Program - Overview,70,15608,11247,29335,31891,71607,2373,73324,0.000%,.01029,0.75,0.00
Program - Report list,70,176653,10642,27815,32521,67125,2419,11382575,1.429%,.00385,0.16,0.00
Program - Report (Draft),69,14871,12164,28344,34629,53389,2741,55657,0.000%,.01040,1.37,0.01
Program - Report (HTML View),69,15278,12263,29002,36508,46459,2559,48942,0.000%,.01037,0.39,0.01
Company Profile,69,17465,13891,32778,34073,63671,2276,64162,0.000%,.01034,1.08,0.00
Company Profile - View Project Type,69,18611,13724,35465,37451,40966,2481,50466,0.000%,.01032,1.77,0.01
Company Profile - Update Project Type,69,14300,9602,28814,31597,32381,2516,39318,0.000%,.01032,0.34,0.01
Company Profile - New Close Out Report,69,14205,12047,27652,29809,30839,2470,40869,0.000%,.01030,0.35,0.01
Company Profile - View Portfolio Settings,69,16092,12667,30281,31946,32552,2944,34438,0.000%,.01027,0.72,0.00
People,69,14776,11347,28864,31086,32163,2063,32589,0.000%,.01025,0.49,0.00
Evaluations,69,15666,12020,29352,31146,32097,2336,32235,0.000%,.01021,0.56,0.00
Overall Time Tracking,69,13684,12885,27463,28922,30124,2619,30273,0.000%,.01020,0.46,0.00
Knowledge Base,69,179155,10865,29790,32769,35414,2189,11392036,1.449%,.00380,0.13,0.00
Knowledge Base - Details,68,180054,7830,29740,31351,32064,2203,11392085,1.471%,.00375,0.15,0.00
My Coaching,67,13839,11152,28754,30687,36440,2562,37560,0.000%,.00997,0.51,0.00
TOTAL,5125,46827,14880,39855,45532,74716,303,16974013,15.922%,.27954,19.65,0.13
